taxa,accuracy,sample_size
Mus cookii,0.8181818182,88
Mus haussa,0.9704142012,169
Mus macedonicus,0.8987341772,79
Mus mahomet,0.83,100
Mus mattheyi,0.9534883721,86
Mus minutoides,0.8458397141,1959
Mus musculoides,0.8984318016,5484
Mus neavei,0.9744186047,430
Mus pahari,0.9047619048,126
Mus setulosus,0.9238045192,1903
Mus setzeri,0.8888888889,36
Mus shortridgei,0.9464285714,56
Mus sorella,0.9289940828,169
Mus spicilegus,0.9378531073,177
Mus spretus,0.9640711963,18147
Mus tenellus,0.75,28
Mus terricolor,0.9736842105,38
Mus triton,0.9133995037,4030
Muscardinus avellanarius,0.9571788413,794
Mylomys dybowskii,0.9415584416,616
Myocastor coypus,0.8583175206,1581
Myodes andersoni,0.9615384615,26
Myodes californicus,0.935071708,3835
Myodes centralis,0.9752475248,202
Myodes gapperi,0.8384746174,45287
Myodes glareolus,0.93511765,80068
Myodes rufocanus,0.9016176956,3029
Myodes rutilus,0.9363667465,49691
Myodes smithii,1,47
Myomyscus angolensis,0.9509803922,102
Myomyscus brockmani,0.9425287356,174
Myomyscus verreauxii,0.9367816092,174
Myoprocta acouchy,0.9523809524,210
Myoprocta pratti,0.953125,64
Myopus schisticolor,0.953125,704
Myospalax myospalax,0.8333333333,30
Myospalax psilurus,0.8787878788,33
Mysateles prehensilis,0.96875,32
Mystromys albicaudatus,0.9615384615,130
Nannosciurus melanotis,0.9264705882,68
Napaeozapus insignis,0.9264017128,7473
Neacomys guianae,0.9632352941,136
Neacomys minutus,1,64
Neacomys musseri,0.9705882353,34
Neacomys paracou,0.9358974359,78
Neacomys spinosus,0.9257221458,727
Neacomys tenuipes,0.949044586,157
Necromys amoenus,0.956,250
Necromys lactens,0.9594594595,74
Necromys lasiurus,0.9155023287,1503
Necromys lenguarum,0.9589041096,803
Necromys obscurus,0.9843096234,956
Necromys temchuki,0.8918918919,74
Necromys urichi,0.9545454545,176
Nelsonia goldmani,0.9743589744,39
Nelsonia neotomodon,0.9181818182,110
